NOM_DU_CINEMA;ADRESSE;CP;COMMUNE;SITE_INTERNET
Cinéma Le Montagnard;Place Similien Guérin;44620;La Montagne;http://lemontagnard.cine.allocine.fr/
Le Hublot;Place Dinan;44490;Le Croisic;www.cinemahublot.com
Gaumont Nantes;12, place du commerce;44000;Nantes;www.cinemasgaumontpathe.com
Cinéma Le Beaulieu;26, rue de Beaulieu;44340;Bouguenais;www.cinemalebeaulieu.com
Cinéma Eden;67, rue Saint-Fiacre;44150;Ancenis;www.cineeden.com
Cinéma Le Connétable;1 cours des Marches de Bretagne;44190;Clisson;http://www.cinema-leconnetable.fr/
Katorza;3, rue Corneille;44000;Nantes;www.katorza.fr
Salle Jacques Tati;33, boulevard Victor Hugo;44603;Saint-Nazaire;www.letheatre-saintnazaire.fr
L'Odéon;7, place de l'Eglise;44290;Guémené-Penfao;
Cinéma Saint-Gilles;54, rue de Verdun;44210;Pornic;
Cinéma Atlantic;Place des anciens combattants;44420;La Turballe;www.reperages.biz
Ciné Malouine;Rue Aristide Briand;44550;Saint-Malô-de-Guersac;www.cinemalouine.a3w.fr
Cinéville;Rue Marie Curie;44230;Saint-Sébastien sur Loire;www.cineville.fr
Montluc Cinéma;Rue Chauvin de la Musse;44360;Saint-Etienne-de-Montluc;www.montluc-cinema.weebly.com
Ciné Vaillant;12, rue du Général De Gaulle;44120;Vertou;www.cinevaillant.com
Saint-Joseph;14, rue Notre-Dame;44210;Sainte-Marie-sur-Mer;
Gulf Stream;52, avenue du Général De Gaulle;44500;La Baule;
Ciné Pole Sud;Route de Clisson;44115;Basse-Goulaine;www.cinepolesud.fr
Cinéma Pax;5, rue Maréchal Joffre;44510;Le Pouliguen;www.reperages.biz
Ciné Phil;Rue de la cure;44310;Saint-Philbert-de-Grandlieu;www.cinephil.fr
Cinéma Saint-Laurent;9, rue du 11 novembre;44130;Blain;www.cineblain.fr
La Bobine;6, place de la gare;44160;Pontchâteau;
Cinéma Saint-Michel;20, rue du Redois;44730;Saint-Michel Chef Chef;
Ciné Loroux;Rue de la Liotterie;44430;Le Loroux-Bottereau;http://pagesperso-orange.fr/cineloroux
Cinéma Jeanne d'Arc;15, rue de la mer;44760;La Bernerie en Retz;
Cinéma Bonne-Garde;20, rue du frère Louis;44200;Nantes;www.cinebonnegarde.ift.fr
Espace Culturel;Rue Gabriel Deshayes;44530;Saint-Gildas des Bois;
Lutétia;18, rue des calvaires;44800;Saint-Herblain;
Cinéville;5, boulevard de la Légion d'Honneur - BP 408;44600;Saint-Nazaire;www.cineville.fr
Ciné Presqu'île;3, avenue Anne de Bretagne;44350;Guérande;
Le Nozek;Rue de la gare;44170;Nozay;www.nozay44.com/lenozek
Cinéma Jacques Demy;11, rue du stade;44450;La Chapelle-Basse-Mer;www.cinema-la-chapelle-basse-mer.fr
Atlantic Ciné;21, rue de la vernisserie;44 110;Châteaubriant;www.atlanticcine.com
Cinéma Paradiso;24, boulevard de la gare - BP 14;44390;Nort-sur-Erdre;http://www.cinema-paradiso.asso.fr/
Cinéjade;Parc d'activité de la Guerche;44250;Saint-Brévin-les-Pins;http://www.saint-brevin.fr/tourisme/cinema-cinejade.html
Cinéma Saint-Paul;38, rue Julien Douillard;44400;Rezé;cinesaintpaul.free.fr
Espace Renaissance;1, rue Laënnec;44480;Donges;www.ville-donges.fr
Pathé Atlantis;Allée de la Pérouse;44800;Saint-Herblain;www.cinemasgaumontpathe.com
Cinéma Victoria;Rue Saint-Victor;44750;Campbon;www.cinema-victoria44.ici.st/
Cinéma Le Cep;8, boulevard Evariste Dejoie;44330;Vallet;www.cinemalecep.fr
UGC Ciné Cité Atlantis;Place Jean Bart;44812;Saint-Herblain;www.ugc.fr
Cinéma Atlantique;Grande rue;44770;Préfailles;
Cinéma Jeanne d'Arc;17, boulevard de la Ferronnays;44540;Saint-Mars-la-Jaille;cinema.jeannedarc.free.fr/
Cinéma Concorde;79, boulevard Egalité;44100;Nantes;www.leconcorde.fr
Cinémachecoul;23, rue des Capucins;44270;Machecoul;
Cinéma Le Gen'eric;Rue de l'océan - BP 6;44810;Héric;http://www.cinema-generic.com/