DATE_DEBUT;DATE_FIN;INTITULE_MANIFESTATION;ORGANISATEUR;DISCIPLINE;VILLE_DE_LA_MANIFESTATION;OBJET_DEMANDE;SUBVENTION
27/10/2012;29/10/2012;Championnat de France de Match-Racing Féminin;APCC Voile Sportive;Voile;Pornichet;Subvention ;2 500 €
13/07/2012;21/07/2012;Sélection départemental EUROGYM;Comité 44;Gymnastique;Portugal;Promotion ;
02/06/2012;;Contest tour;UFOLEP;Roller Skating;Pouliguen;Promotion ;
05/05/2012;;Rencontre départemental ecole de cyclisme;Pédale Puceuloise;Cyclisme;Puceul;Promotion ;
06/05/2012;;Championnat 44 seniors de cyclisme;Pédale Puceuloise;Cyclisme;Puceul;Promotion ;
05/05/2012;06/05/2012;Championnats départementaux école de cyclisme et route séniors;Pédale Puceuloise;Cyclisme;Puceul;Promotion ;
16/12/2012;;Cross interdépartemental des sapeurs pompiers;Jeunes Sapeurs Pompiers du Pays des Trois Rivières;Athlétisme;Puceul;Subvention ;
01/09/2012;02/09/2012;Coupe de France Eau libre;Cercle des Nageurs du Pays de Redon;Natation;Redon;Subvention ;2 000 €
26/02/2012;;Course cycliste La Ragonnaise;Société Amicale La Ragonnaise;Cyclisme;Rezé;Promotion ;
18/03/2012;;Concours de palets;Palet Club Rezéen;Palet;Rezé;Promotion ;
24/03/2012;;Concours de boules;Société Amicale La Ragonnaise;Cyclisme;Rezé;Promotion ;
06/04/2012;08/04/2012;Tournoi International Cadets;Entente Rezéenne;Football;Rezé;Subvention ;6 000 €
21/04/2012;;Concours de boules;Société Amicale La Ragonnaise;Cyclisme;Rezé;Promotion ;
17/05/2012;;Course cycliste La Ragonnaise;Société Amicale La Ragonnaise;Cyclisme;Rezé;Promotion ;
26/05/2012;;Concours régional de palets;Palet Club Rezéen;Palets;Rezé;Promotion ;
21/06/2012;24/06/2012;Tournoi Rezé Basket International;Rezé Basket International;Basket-Ball;Rezé;Subvention ;8 000 €
08/09/2012;;"Tournoi de handball
(formation des jeunes arbitres régionaux)";Atlantique Rezé handball;Handball;Rezé;Promotion ;
16/09/2012;;semi marathon de Rezé;ASBR athlétisme;Athlétisme;Rezé;Promotion ;
13/10/2012;;Concours de boules;Société Amicale La Ragonnaise;Cyclisme;Rezé;Promotion ;
01/01/12;01/12/12;Action de développement de la pratique féminine ;Nantes Rezé Basket;Basket;Rezé;Subvention ;
03/04/2012;;Sarthe Pays de Loire;Circuit Cycliste Sarthe Pays de Loire;Cyclisme;Riaillé;Subvention ;7 000 €
27/05/2012;;Nantes - Riaillé;Pédale Nantaise;Cyclisme;Riaillé;Subvention ;700 €
07/07/2012;08/07/2012;Sandball jeunes et adultes;ASCED Riaillé;Handball;Riaillé;Promotion ;
05/06/2012;;Tournoi annuel volley adulte;Amicale Laïque de Rouans;Volley;Rouans;Promotion ;
01/05/2012;;Tournoi foot;;Football;Rougé;Promotion ;
17/05/2012;19/05/2012;Championnats de France Individuels de Swin Golf;Swing Golf des Grées;Golf;Rougé;Subvention ;1 500 €
09/06/2012;;Tournoi de volley féminin;ESR Volley;volley;Rougé;Promotion ;
02/07/2012;04/07/2012;Eurofoot ASD;ASD;Football;Rougé;Promotion ;
04/04/2012;;Tournoi badminton;Amicale Laïque St André des Eaux;Badminton;Saint André des Eaux;Promotion ;
09/04/2012;;Tournoi de tennis jeunes;AC Brevinois;Tennis;Saint Brévin;Promotion ;
06/07/2012;15/07/2012;Tournoi de tennis jeunes;AC Brevinois;Tennis;Saint Brévin;Promotion ;
09/08/2012;19/09/2012;Tournoi de tennis jeunes;AC Brevinois;Tennis;Saint Brévin;Promotion ;
15/08/2012;;Foulées des dunes;ACB athlétisme;athlétisme;Saint Brévin;Promotion ;
02/06/2012;03/06/2012;Championnat grand ouest sauvetage côtier;"Sud Estuaire Sauvetage 
Côtier Brévinois";Sauvetage en mer;Saint Brévin les Pins;Promotion ;
23/06/2012;;Fémi Plage;District de Football;Football;Saint Brévin les Pins;Subvention ;3 000 €
26/05/2012;;Tournoi tennis de table;Club de tennis de table de st colomban;Tennis de Table;Saint Colomban;Promotion ;
26/05/2012;;Vétathlon Go fast;Club de la choltière Paulx mer morte;Vétathlon;Saint Etienne de Mer Morte;Promotion ;
26/05/2012;;Tournoi de handball;ALSEM;Handball;Saint Etienne de Montluc;Promotion ;
30/06/2012;;Tournoi de foot adulte;Clem'action;Football;Saint Etienne de Montluc;Promotion ;
25/02/2012;26/02/2012;Tournoi de foot en salle;Réveil St Géréon;Football;Saint Géréon;Promotion ;
08/12/2012;;Course téléthon;Sport Endurance Pour tous des 3 Rivières;Athlétisme;Saint Gildas des Bois;Promotion ;
08/01/2012;;Tournoi foot en salle;SHOC;Football;Saint Herblain;Promotion ;
25/03/2012;;Atlantisports environnement;Office municipale de St Herblain;Athlétisme;Saint Herblain;Promotion ;
13/05/2012;;Championnat régional twirling FSCF;Twirling Club Estelle;Twirling;Saint Herblain;Promotion ;
14/07/2012;;10 km de St Herblain;ASPTT Nantes athlétisme ;Athlétisme;Saint Herblain;Subvention ;800 €
14/07/2012;;Challenge départemental des courses hors stade 10 km de St Herblain;ASPTT Nantes athlétisme ;Athlétisme;Saint Herblain;Promotion ;
23/09/2012;;Les Foulées de la Gournerie;UFCPH;athlétisme;Saint Herblain;Promotion ;
23/09/2012;;"
Challenge départemental des course hors stade
(Les Foulées de la Gournerie)";UFCPH;athlétisme;Saint Herblain;Promotion ;
30/06/2012;;3h Relais VTT ;Loisirs vacances;cyclisme;Saint Hilaire de Chaléon;Promotion ;
12/05/2012;;Tournoi de foot;SJPF;Football;Saint Joseph de porterie;Promotion ;
08/05/2012;;Triathlon ;Tri Véloce St Sébastien;Triathlon;Saint Julien de Concelles;Subvention ;1 000 €
17/06/2012;;Sport en famille;mairie de st julien et clubs locaux;Multisports;Saint Julien de Concelles;Promotion ;
28/10/2012;;Tournoi basket;Hirondelle Basket;Basket;Saint Julien de Concelles;Promotion ;
21/04/2012;;Tournoi de basket jeunes;Espérance Luminaise Basket;Basket-Ball;Saint Lumine de clisson;Promotion ;
07/07/2012;;randonnée VTT et pedestre;Les illuminés;Cyclisme;Saint Lumine de coutais;Promotion ;
11/02/2012;12/02/2012;Tournoi de poker;Poker on mars;Poker;saint mars du désert;Promotion ;
30/09/2012;;Semi marathon de la haute vallée de l'erdre;"Association coureurs région erdre
section de l'athléticclub du pays d'Ancenis";Athlétisme;Saint Mars la Jaille;Promotion ;
30/09/2012;;"Challenge départemental des courses hors stade
Semi marathon de la haute vallée de l'erdre";"Association coureurs région erdre
section de l'athléticclub du pays d'Ancenis";Athlétisme;Saint Mars la Jaille;Promotion ;
08/09/2012;;Conours de doublette;St Mars la Jaille pétanque;Pétanque;Saint Mars La Jaillle;Promotion ;
01/05/2012;;Tournoi foot;Océane football club;Football;Saint Michel chef chef;Promotion ;
25/11/2012;;Championnat 44 d'escalade minimes / seniors;Comité 44 montagne et escalade;Escalade;Saint Molf;Promotion ;
09/12/2012;;Championnat 44 d'escalade minimes / seniors;Comité 44 montagne et escalade;Escalade;Saint Molf;Promotion ;
25/02/2012;;10kms du parc paysager;SNOS Athlétisme;Athlétisme;Saint Nazaire;Promotion ;
26/05/2012;28/05/2012;Tournoi de Football;SNOS Football;Football;Saint Nazaire;Subvention ;1 300 €
22/09/2012;23/09/2012;Tournoi de volley de SNVBA;SNVBA;Volley;Saint Nazaire;Promotion ;
06/10/2012;07/10/2012;5ème coupe de l'estuaire;Saint Nazaire Olympique Parachutisme;Parachute;Saint Nazaire;Subvention ;1 500 €
21/10/2012;;Les Foulées Nazairiennes;ESCO 44 Athlétisme;Athlétisme;Saint Nazaire;Subvention ;1 000 €
07/03/2012;10/03/2012;La Solidaire du Chocolat;Club Nautique La Cormorane;Handisport;Saint Nazaire;Subvention ;1 500 €
26/05/2012;;TEEN Volley Cup;SNVBA;Volley;Saint Nazaire;Promotion ;
09/06/2012;10/06/2012;Meeting de Natation;St Nazaire Atlantique Natation;Natation;Saint Nazaire;Subvention ;1 000 €
10/06/2012;;Sandball Jeunes;St Nazaire Handball SNHB;Handball;Saint Nazaire;Subvention ;1 000 €
23/06/2012;;"Finales départementales de voile
dériveurs";Comité 44 voile;Voile;Saint Nazaire;Promotion ;
30/06/2012;01/07/2012;Concours amateur professionnel de sauts d'obstacles;Sabort d'Or Equitation;Equitation;Saint Nazaire;Non renseigné;
01/07/2012;;Triathlons de Saint-Nazaire;B.E.S.T St Nazaire Triathlon;Triathlon;Saint Nazaire;Subvention ;1 000 €
07/07/2012;08/07/2012;Sandball Adultes;St Nazaire Handball SNHB;Handball;Saint Nazaire;Subvention ;3 000 €
20/07/2012;22/07/2012;National de Pétanque;SNOS Pétanque;Pétanque;Saint Nazaire;Subvention ;850 €
03/09/2012;;Les Foulées d'Hélyce;Mairie de St Nazaire;Athlétisme;Saint Nazaire;Promotion ;
13/09/2012;;Match de gala Cholet / Gravelines;ACBN;Basket;Saint Nazaire;Promotion ;
01/01/12;01/12/12;Soutien au projet de Développement 2010/2014;St Nazaire Handball SNHB;Handball;Saint Nazaire;Subvention ;
01/01/12;01/12/12;100 ans du club (sept.2011 mais subvention donnée en 2012= appui du cabinet);Alerte de Méan;Gymnastique;Saint Nazaire;Subvention ;1 500 €
08/04/2012;09/04/2012;Concours Hippiques Pro2;Association Equestre Redon et ses Trois Rivières;Equitation;Saint Nicolas de Redon;Subvention ;1 000 €
01/06/2012;03/06/2012;Fête du Cheval;Association Equestre Redon et ses Trois Rivières;Equitation;Saint Nicolas de Redon;Subvention ;1 000 €
05/08/2012;;Championnats de Bretagne de Sports Athlétiques;Comité des Fêtes de St Omer de Blain;Divers;Saint Omer de Blain;Subvention ;1 500 €
19/02/2012;;Cross départemental sapeurs pompiers;CIS de St Père en Retz;Athlétisme;Saint Père en Retz;Promotion ;
14/07/2012;;Course hippique;;Equitation;Saint Père en Retz;Promotion ;
26/05/2012;;Tournois de foot;Club de foot de st père en retz;Football;Saint Père en Retz;Promotion ;
09/06/2012;;Speed badminton;Speed Club Pérézien;Badminton;Saint Père en Retz;Promotion ;
01/07/2012;;randonnée VTT La Philibertine;Grand Lieu VTT;cyclisme;Saint Philbert de grand lieu;Promotion ;
26/05/2012;;Tournoi sandball;club de handball st philbert de grand lieu;Handball;Saint Philbert de Grandlieu;Promotion ;
24/06/2012;;Concours de pêche;Martin Pêcheur Philbertin;Pêche;Saint Philbert de Grandlieu;Promotion ;
28/09/2012;29/09/2012;Europacup;Grandlieu Swin Golf;Golf;Saint Philbert de Grandlieu;Subvention ;3 000 €
23/09/2012;;Rencontre école de cyclisme;Vélo Club Sébastiennais;Cyclisme;Saint Sébastien;Promotion ;
01/04/2012;;Foulées de St Sébastien;S.N.A.C.;Athlétisme;Saint Sébastien sur Loire;Subvention ;1 500 €
03/06/2012;;Tournoi de foot jeunes;GSSt Sébastien;Football;Saint Sébastien sur Loire;Promotion ;
13/09/2012;;Trophées départementaux de billard;St Sebastien billard;Billard;Saint Sébastien sur Loire;Promotion ;
29/05/2012;01/06/2012;Championnat de France UNSS Excellene Minimes Garçons;UNSS 44;Football;"Saint Sébastien sur Loire
Nantes";Subvention ;2 000 €
15/01/2012;;Championnat départemental de cross country des pompiers;OIS Derval;Athlétisme;Saint Vincent des Landes;Promotion ;
04/03/2012;;Grand Prix Ste Luce;Vélo Club Lucéen;Cyclisme;Sainte Luce;Promotion ;
21/04/2012;22/04/2012;Tournoi du Grand Ouest;USL Football;Football;Sainte Luce;Subvention ;500 €
16/06/2012;;Foulées des Bords de Loire (21èmes);Racing Club Nantais;Athlétisme;Sainte Luce sur Loire;Subvention ;1 000 €
16/06/2012;;Challenge départementale course hors stade;Racing Club Nantais;Athlétisme;Sainte Luce sur Loire;Promotion ;
29/04/2012;;Les Boucles de la Loire;Vélo Club Lucéen;Cyclisme;Sainte Luce sur Loire;Subvention ;2 000 €
23/09/2012;;Course Handisport Bouaye/Ste Pazanne;Comité Boscéen de Sécurité Routière;Handisport;Sainte Pazanne/Bouaye;Subvention ;1 500 €
11/03/2012;;La Solidaire du Chocolat;La Route du Chocolat;Voile;Saint-Nazaire;Subvention ;103 500 €
11/03/2012;;La Solidaire du Chocolat;CD Voile;Handisport;Saint-Nazaire;Subvention ;1 000 €
15/03/2012;;Coupe de France des Sports Collectifs IUT;IUT St Nazaire;Multisports;Saint-Nazaire;Subvention ;1 500 €
18/03/2012;;Semi Marathon de la Brière;ESCO 44 Athlétisme;Athlétisme;Saint André des Eaux;Subvention ;800 €
09/12/2012;;Fête d'hiver du Baby Basket;Comité départemental Basket;Basket;"Saint André des Eaux
Clisson
Blain";Subvention ;
30/01/2012;;33ème finale coupe de France feminine ;SHOC;Football;Saint Herblain;Promotion ;
05/02/2012;;Flag Bowl 2012;Les Titans de St Herblain;Football Américain;Saint Herblain;Subvention ;500 €
26/05/2012;;Finale départementale Challenge Crédit Agricole U13;St Herblain Olympique Club (SHOC);Football;Saint Herblain;Subvention ;1 000 €
26/05/2012;27/05/2012;Tournoi jeunes;Saint Herblain basket club;Basket-Ball;Saint Herblain;Promotion ;
14/06/2012;;Tournoi foot adapté;A.S Preux St Herblain Football;Football;Saint Herblain;Promotion ;
22/09/2012;23/09/2012;Championnat du Monde de Canne de Combat;Savate Herblinoise;Boxe;Saint Herblain;Subvention ;4 000 €
;02/12/2012;Courses d'orientation;Nantes Atlantique orientation / comité départemental;Course d'orientation;Saint Herblain;Promotion ;
08/04/2012;;Course promotionnelle Bmx;Bicross Club Savenay;cyclisme;Savenay;Promotion ;
21/04/2012;;Duathlon vert;SNLS;Duathlon;Savenay;Promotion ;
13/05/2012;;"Journée Educative Claude Bénizé
ne sont pas venus récupérer dotation";District de Football;Football;Savenay;Promotion ;
26/08/2012;;"Les foulées du Sillon de Bretagne
Challenge nature Loire-acéan";UAC Savenay;athlétisme;Savenay;Promotion ;
21/04/2012;;Contest tour;UFOLEP;Roller Skating;Sucé sur Erdre;Promotion ;
16/06/2012;24/06/2012;Tournois de tennis jeunes ;Club de tennis de Sucé sur Erdre;Tennis;Sucé sur Erdre;Promotion ;
27/08/2012;08/09/2012;Tournois de tennis adultes;Club de tennis de Sucé sur Erdre;Tennis;Sucé sur Erdre;Promotion ;
01/05/2012;;Foulées de Teillé;ACPA;Athlétisme;Teillé;Promotion ;
17/06/2012;;"Finales départementales de voile
catas et windsurfs";Comité 44 voile;Voile;Tharon plage;Promotion ;
12/02/2012;;Championnat régional cross jeunes;Racing Club Nantais;Athlétisme;Thouaré sur loire;Promotion ;
18/03/2012;;Tournoi de badminton;BALT;Badminton;Thouaré sur loire;Promotion ;
09/06/2012;;Concours pêche à coup;Amicale des pêcheurs à la ligne;Pêche;Trans sur erdre;Promotion ;
27/05/2012;;Challenge International Kassianoff;Rugby Club Trignacais;Rugby;Trignac;Subvention ;3 700 €
19/08/2012;;100 ans du Rugby Club Trignacais;Rugby Club Trignacais;Rugby;Trignac;Subvention ;
05/05/2012;06/05/2012;Tournoi de basket;Association Pampres Valletais Basket;Basket-Ball;Vallet;Promotion ;
30/06/2012;01/07/2012;Trophée de France BMX 2012;BMX Club de Vallet;cyclisme;Vallet;Subvention ;4 000 €
28/07/2012;;Raid famille ligérien;ASD;Raid;Varades;Promotion ;
09/09/2012;;Semi marathon de varades;Athlétic club varades;Athlétisme;Varades;Promotion ;
23/09/2012;;6h de roller de Varades;Club de roller Varadais;Roller Skating;Varades;Promotion ;
10/06/2012;;Cyclosportive la Eloi Tassin;Comité Inter Société de Vay;Cyclisme;Vay;Subvention ;1 000 €
20/07/2012;;Course cycliste juniors et seniors;Union Sportive de Saint Herblain;Cyclisme;Vay;Promotion ;
27/05/2012;;Dotation La VOGALONGA;pink lady;Canoë Kayak;Venise;Promotion ;
12/02/2012;;Championnat départemental de twirling FSCF;La Vaillante Twirling;Twirling;Vertou;Promotion ;
20/05/2012;;Championnat régional de voltige equestre;Association Beauséjour Voltige;Equitation;Vertou;Promotion ;
26/05/2012;27/05/2012;EUROP'FOOT;Club de foot Vertou/Haute goulaine;Football;Vertou;Subvention ;1 300 €
09/06/2012;;Aquathlon dans la Sèvre;Comité 44 triathlon;Triathlon;Vertou;Promotion ;
07/09/2012;09/09/2012;Jumping de Vertou;C.H.E.V.A.L.;Equitation;Vertou;Subvention ;1 300 €
16/09/2012;;Action de développement de la pratique féminine - 3ème Open Féminin;Ligue régionale des Pays de la Loire;Basket-Ball;Vertou;Subvention ;
27/10/2012;07/11/2012;Open Gaz de France Nantes Atlantique;Comité Open Tennis 44;Tennis;Vertou;Subvention ;15 000 €
28/10/2012;;Foulées vertaviennes;La vaillante;Athlétisme;Vertou;Promotion ;
01/12/2012;02/12/2012;Concours de gymnastique;La Vaillante;Gymnastique;Vertou;Promotion ;
01/01/12;31/12/12;Action de développement de la pratique féminine - Open GDF SUEZ;Comité Open Tennis 44;Tennis;Vertou;Subvention ;
26/05/2012;27/05/2012;"Tournoi de Football EUROFOOT
ANNULE";Eurofoot;Football;Vigneux;Subvention ;
08/12/2012;;Cross country;mairie de Vigneux de Bretagne;Athlétisme;Vigneux;Promotion ;
22/12/2012;23/12/2012;Tournoi de basket poussins et benjamins (filles et gars);TVBC;Basket;Vigneux de Bretagne;Promotion ;
05/02/2012;;Challenge départemental Kid's rollers;comité 44 rollers;Roller Skating;;Subvention à l'année;850 €
16/05/2012;20/05/2012;Sélection grand prix handisport;Comité 44 handisport;Handisport;;Promotion ;
17/05/2012;;Tournoi de foot de Savenay;US Savenay;Football;;Promotion ;
02/06/2012;;;;;;;
10/06/2012;;"Sélection UNSS collège Ancenis
pour championnat de France ";UNSS collège Ancenis;Athlétisme;;Promotion ;
17/06/2012;;Nantes Legé;Vélo Club Legéen;Cyclisme;;Promotion ;
30/06/2012;01/07/2012;Sélection 44 pour championnat de France sport adapté;Comité 44 sport adapté;Sport adapté;;;
10/11/2012;;90ème anniversaire de l'ASTA;ASTA;;;Promotion ;
28/11/2012;;Championnat 44 UNSS ;UNSS 44;Athlétisme;;Promotion ;
01/01/12;31/12/12;Championnats départementaux de Karaté;Comité départemental de Karaté;Karaté;;Subvention ;1 300 €
01/01/12;31/12/12;Handisport;Courir Avec;Handisport;;Subvention ;2 000 €
01/01/12;31/12/12;PREMPTA GLA2;Sporte E3 Breiz;Raid;;Subvention ;1 000 €
01/01/12;31/12/12;Championnat d'Europe 2012 Side Car ;Moto Club de St Même le Tenu;Motocyclisme;;Subvention ;
01/01/12;31/12/12;"Dispositif ""Animateurs-Conférenciers""";Association Addictions : Prévention, Formation, Recherche;Divers;;Subvention ;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
